method	trait	n_classes	eval_n	macro_f1	macro_f1_sd	accuracy	accuracy_sd	mae	mae_sd	best_macro_f1_for_trait
SNP-MLP top512 alpha0.60	PLT_CODE_POST	4	311	0.4715098774938429	0.01514950778162839	0.8017148981779206	0.026773839221429386	0.20257234726688103	0.028579403271111227	False
RiceGeneFormer + distill w=0.10	PSH	3	226	0.3386596871320083	0.009614805750969768	0.8097345132743362	0.007663941626410973	0.2079646017699115	0.0076639416264109575	True
LightGBM top512	PSH	3	226	0.32307838389593124	0.0	0.8362831858407079	0.0	0.18584070796460178	0.0	False
XGBoost top512	PSH	3	226	0.3027375201288245	0.0	0.831858407079646	0.0	0.1902654867256637	0.0	False
SNP-MLP top512 alpha0.40	PSH	3	226	0.3164467548157822	0.012004851152835281	0.831858407079646	0.004424778761061954	0.19174041297935104	0.0051092944176073	False
SNP-MLP top512 alpha0.60	PSH	3	226	0.3263840073659053	0.0131666189356754	0.8097345132743363	0.023413728416500777	0.224188790560472	0.03990486506922916	False
RiceGeneFormer + distill w=0.10	PTH	3	339	0.44966480206109055	0.015483696901955085	0.49459193706981314	0.007423632679715579	0.5299901671583088	0.006140607668041713	False
LightGBM top512	PTH	3	339	0.48715897044238526	0.0	0.49852507374631266	0.0	0.5457227138643068	0.0	False
XGBoost top512	PTH	3	339	0.5013044368714472	0.0	0.5132743362831859	0.0	0.551622418879056	0.0	True
SNP-MLP top512 alpha0.40	PTH	3	339	0.4825234542157554	0.03502866886472764	0.4995083579154376	0.03556173317605728	0.56047197640118	0.02844734737756032	False
SNP-MLP top512 alpha0.60	PTH	3	339	0.49673250887464576	0.027616280549598197	0.5054080629301868	0.02954764838017054	0.5614552605703048	0.02543267877360388	False
RiceGeneFormer + distill w=0.10	SDHT_CODE	3	313	0.3611324075262694	0.010068967948983735	0.7199148029818957	0.003689139100253248	0.28328008519701814	0.0036891391002532156	False
LightGBM top512	SDHT_CODE	3	313	0.3603361344537815	0.0	0.7412140575079872	0.0	0.25878594249201275	0.0	False
XGBoost top512	SDHT_CODE	3	313	0.34303707987918514	0.0	0.744408945686901	0.0	0.25559105431309903	0.0	False
SNP-MLP top512 alpha0.40	SDHT_CODE	3	313	0.37782687614476007	0.0005916932356566438	0.7103301384451545	0.008040292263334126	0.2928647497337593	0.008040292263334152	False
SNP-MLP top512 alpha0.60	SDHT_CODE	3	313	0.3895503181316513	0.01524228156833252	0.703940362087327	0.02174715426694582	0.29925452609158676	0.024816145256083166	True
RiceGeneFormer + distill w=0.10	SPKF	5	340	0.17177931016028505	0.014100904165205208	0.6941176470588236	0.018367641171759975	0.3196078431372549	0.02167974939950587	False
LightGBM top512	SPKF	5	340	0.17385244659900015	0.0	0.7	0.0	0.3088235294117647	0.0	False
XGBoost top512	SPKF	5	340	0.16620689655172413	0.0	0.7088235294117647	0.0	0.3	0.0	False
SNP-MLP top512 alpha0.40	SPKF	5	340	0.16817648973795812	0.004709663129638846	0.7068627450980393	0.0044927212695645815	0.307843137254902	0.007401798465951718	False
SNP-MLP top512 alpha0.60	SPKF	5	340	0.19352244977244976	0.05033865996079287	0.6794117647058824	0.025640582020827463	0.35784313725490197	0.03446744280636656	True
