split,method,seeds,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd,mae_mean,mae_sd,majority_accuracy,majority_mae,region,region_label,method_short,best,gap_to_best
region_leaveout_Southeast_Asia,RiceGeneFormer gated alpha0.25,424344,0.24381680043679063,0.01064256920457939,0.5625712424686533,0.00648248145232468,0.6416707376648755,9.5386537321772e-4,,,Southeast_Asia,Southeast Asia,RiceGeneFormer,0.29888792253678714,-0.05507112209999651
region_leaveout_South_Asia,RiceGeneFormer gated alpha0.25,424344,0.2326555564594688,0.00637576139672943,0.5880558835104289,0.00311086417822947,0.6124065328610783,0.00451828512522826,,,South_Asia,South Asia,RiceGeneFormer,0.2832723414614845,-0.05061678500201569
region_leaveout_East_Asia,RiceGeneFormer gated alpha0.25,424344,0.26929343334367384,0.01413862645577868,0.532433056325023,0.01940706330284735,0.608264081255771,0.02750173720554906,,,East_Asia,East Asia,RiceGeneFormer,0.30416623018242234,-0.0348727968387485
