split	method	seeds	macro_f1_mean	macro_f1_sd	accuracy_mean	accuracy_sd	mae_mean	mae_sd	majority_accuracy	majority_mae
region_leaveout_Southeast_Asia	LightGBM	42	0.2628049381460479	0.0	0.6130265166864711	0.0	0.6319341236772199	0.0	0.6161154749341885	0.6642790869370373
region_leaveout_Southeast_Asia	XGBoost	42	0.24993002650952034	0.0	0.6141545711574741	0.0	0.6143519901485709	0.0	0.6161154749341885	0.6642790869370373
region_leaveout_Southeast_Asia	SNP-MLP alpha0.40	42,43,44	0.28349087235879056	0.007299327523594699	0.6114851514434543	0.012858073507661168	0.620964310587546	0.022686646389956874	0.6161154749341885	0.6642790869370373
region_leaveout_Southeast_Asia	SNP-MLP alpha0.60	42,43,44	0.29888792253678714	0.015566627494031902	0.5892573759334413	0.00549582913364609	0.6567681871363038	0.019492008369623334	0.6161154749341885	0.6642790869370373
region_leaveout_South_Asia	LightGBM	42	0.25626604469596914	0.0	0.6063954897087346	0.0	0.6383491204004514	0.0	0.6025474988999006	0.7098201286283381
region_leaveout_South_Asia	XGBoost	42	0.24207971811163503	0.0	0.6120332229654223	0.0	0.6245839509760694	0.0	0.6025474988999006	0.7098201286283381
region_leaveout_South_Asia	SNP-MLP alpha0.40	42,43,44	0.26865874301637127	0.006670491876081629	0.5923738303325096	0.011027243985450406	0.6355557565832176	0.012462418392939472	0.6025474988999006	0.7098201286283381
region_leaveout_South_Asia	SNP-MLP alpha0.60	42,43,44	0.2832723414614845	0.003181079222385157	0.5795613788592759	0.017397625210537608	0.6511527105961635	0.019024170460371477	0.6025474988999006	0.7098201286283381
region_leaveout_East_Asia	LightGBM	42	0.2900275047424736	0.0	0.5833575035672599	0.0	0.552976157224815	0.0	0.49703574315112276	0.7176182390581094
region_leaveout_East_Asia	XGBoost	42	0.2826934790766283	0.0	0.5786116928728894	0.0	0.5508953882154538	0.0	0.49703574315112276	0.7176182390581094
region_leaveout_East_Asia	SNP-MLP alpha0.40	42,43,44	0.3037463405600133	0.006347023569481949	0.5857514697931687	0.002947301482372123	0.5576576866816801	0.008874803102877532	0.49703574315112276	0.7176182390581094
region_leaveout_East_Asia	SNP-MLP alpha0.60	42,43,44	0.30416623018242234	0.006138494617552611	0.5753078789386549	0.015338922625358518	0.5870085901114376	0.0397483212472786	0.49703574315112276	0.7176182390581094
