split	method	seeds	macro_f1_mean	macro_f1_sd	accuracy_mean	accuracy_sd	mae_mean	mae_sd	spearman_mean	spearman_sd
region_leaveout_Southeast_Asia	RiceGeneFormer gated alpha0.25	42,43,44	0.24381680043679063	0.010642569204579398	0.5625712424686533	0.006482481452324682	0.6416707376648755	0.0009538653732177252	0.09455023302670648	0.0054804234126946865
region_leaveout_South_Asia	RiceGeneFormer gated alpha0.25	42,43,44	0.23265555645946878	0.006375761396729432	0.5880558835104289	0.0031108641782294747	0.6124065328610783	0.004518285125228265	0.05885223876763424	0.012098676932352313
region_leaveout_East_Asia	RiceGeneFormer gated alpha0.25	42,43,44	0.26929343334367384	0.014138626455778685	0.532433056325023	0.019407063302847354	0.608264081255771	0.027501737205549066	0.24935024314929186	0.01186993244110379
